# 2023/12/04 - 15:38 | PDB: 48.23 | UniProt: 2024.01
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
4rl1	A	Q79ZN1	8101074	8101071
3u52	E	Q84AQ1	8093334	8046289
1y19	B	P26039	8044254	8031876
5xbf	A	Q6PIF6	8091825	8091823
5f3y	A	Q99MZ6	8091845	8091843
1lm6	A	Q9F2F0	8032523	8020143
1rl4	A	Q8I372	8040755	8028376
1y6h	A	Q93LE9	8044284	8031906
4je6	B	Q9FV53	8064310	8064309
5t8z	A	A0A0H3KPJ9	8064334	8064333
3qu1	A	Q9KN16	8074772	8074771
6dzd	A	A5A677	8097116	8097115
1u0s	A	Q56310	8040633	8028254
5egi	A	Q9NA75	8092368	8046954
5wuc	A	Q4J9E6	8092380	8092379
4gh9	A	P35259	8092333	8049838
6qgt	B	A0A0E3QWH3	8095209	8095208
1aip	C	P43895	8032413	8020033
2cos	A	Q7TSJ6	8039158	8026779
2cpw	A	Q8TF42	8039186	8026807
1vg5	A	Q8LB17	8043077	8030698
2mr9	A	P40087	8088649	8088648
6cn0	B	Q33DX5	8090797	8090796
3npe	A	O24592	8092355	8051042
6xm7	A	G2IQT9	8103102	8103101
5a53	A	Q08746	8092359	8046715
5by8	B	Q5B6T5	8092360	8046716
6mhq	A	Q9TU17	8092544	8079720
5b2g	A	O14493	8092547	8048279
4p79	A	Q9Z0S5	8092549	8048284
3h8d	C	Q64331	8091604	8045703
1zh2	A	P21866	8035660	8023280
1k68	A	Q8RTN0	8036188	8023808
1w25	A	B8GZM2	8043224	8030845
1mvo	A	P13792	8043820	8031442
3t6k	A	A9WCL5	8057732	8017851
4lda	A	Q9HW97	8057741	8017856
2msk	A	A0A0M3KKS6	8072780	8072779
5uht	B	Q9WYT9	8072786	8072785
3cu5	B	A9KIW7	8072794	8072793
3hzh	A	O51615	8072798	8072797
5xjp	A	Q6TA00	8072812	8072811
6ekg	Y	Q6LYQ5	8072824	8072823
3n53	B	Q3A6W4	8072850	8072849
3kyi	B	Q8KLS1	8072852	8072851
3hv2	B	Q4K707	8072854	8072853
2n9u	A	Q2N856	8072880	8072879
3eqz	A	Q483U6	8072904	8072903
2vuh	B	P26408	8072908	8072907
5kbx	B	Q07084	8074355	8074354
2hqo	A	Q9ZM42	8075481	8075480
5dkf	B	P0AE68	8098422	8098421
6swl	A	Q09LZ6	8099122	8099121
6tbz	A	Q56I99	8094777	8094776
1sb6	A	P73213	8041524	8029145
2lqb	A	P35670	8064508	8064507
2kt2	A	P00392	8084339	8084338
2n4c	A	A9CJD6	8097204	8097203
5evf	A	A0Q625	8090701	8090700
6yhs	R	D0C9L7	8097462	8097461
2qnu	A	Q9I756	8091650	8045719
3bxj	B	Q9QUH6	8057928	8018886
5c5s	C	Q13459	8079463	8079462
3iug	A	A7KAX9	8079471	8079470
1mrj	A	P09989	8036968	8024589
1ahc	A	P16094	8036972	8024593
1ce7	A	Q6ITZ3	8071068	8071067
1p1l	A	O28301	8034565	8022185
1o5j	A	Q9X0E6	8037221	8024842
3opk	A	Q7CPA2	8063686	8063685
2eg1	A	O66513	8074415	8074414
2o67	C	Q9ZST4	8074421	8074420
4usj	C	A8JI83	8074431	8074430
3dfe	B	Q3M8P8	8086168	8086167
5d4p	C	D6CQJ8	8086172	8086171
3ce8	A	A3CYS0	8103599	8046695
1fcd	A	Q06530	8091673	8001473
1olp	A	Q8GCY3	8037633	8025254
1ja3	A	Q9JHN9	8039878	8027499
1tdq	B	P07897	8040134	8027755
1r13	A	P08427	8040193	8027814
1v7p	B	Q7T2Q0	8041192	8028813
2mti	A	G5E882	8065458	8065457
3zhg	A	Q8CJ91	8065462	8065461
4iop	B	D3W0D1	8065464	8065463
2bpd	A	Q6QLQ4	8065470	8065469
2e3x	B	Q4PRD2	8065486	8065485
2ls8	A	Q8WXI8	8065508	8065507
3rs1	A	Q9WVF9	8065510	8065509
3ubu	A	Q8JIV9	8065518	8065517
2yhf	A	Q9NY25	8065528	8065527
2q17	C	Q9F3C7	8087330	8087329
6a7s	B	A0A2Z6G7U3	8096708	8096707
6lfj	A	Q9D8Q7	8100478	8100477
1nwa	A	P9WJM5	8033661	8021281
1yu5	X	P02640	8034896	8022516
2wcr	B	O25318	8092850	8046102
1bx4	A	P55263	8032772	8020392
2abq	A	Q9KEM5	8036853	8024474
2f02	A	Q833W9	8040376	8027997
4x8f	A	A0A0H2UL04	8075341	8075340
2rbc	A	A9CHQ7	8075363	8075362
3gbu	A	O59128	8075365	8075364
3bgk	A	Q8DVC0	8083706	8083705
2jg1	A	P0A0B9	8086918	8086917
2jg5	A	Q9KWK1	8086920	8086919
6c9r	B	P9WID5	8099044	8099043
1qou	A	Q41261	8041131	8028752
6ens	A	P70296	8077411	8077410
3axy	A	Q93WI9	8077421	8077420
1zet	A	Q9UNA4	8035704	8023324
2hhv	A	Q5KWC1	8042337	8029958
1w25	A	B8GZM2	8043226	8030847
3w2w	A	Q8U1S6	8052174	8047595
6d9m	A	Q39UD1	8095729	8095728
2f8e	X	Q0QEE0	8099140	8099139
1yua	A	P06612	8039157	8026778
2kwq	A	Q5EAW4	8051999	8044694
1x0t	A	O59248	8057023	8045166
5xog	M	A0A1B2JER8	8082398	8082397
1b3t	A	P03211	8035383	8023003
1r8h	A	Q84294	8040442	8028063
5tsq	A	A4H9Q9	8080169	8080168
4qkw	A	A1L260	8092364	8050995
1wh0	A	O94966	8043535	8031157
3l1e	A	P02470	8089921	8062166
1h72	C	Q58504	8032985	8020605
6cv0	A	F4MIW6	8092705	8092704
6cv0	A	F4MIW6	8092707	8092706
1mt5	A	P97612	8043764	8031386
2y0n	A	Q8N5Y2	8092776	8047499
1dis	A	P00381	8032717	8020337
1u70	A	P00375	8068933	8068932
3vco	A	G4VJD6	8068935	8068934
2lw9	A	Q9HD67	8092801	8046069
1yk5	A	Q9V099	8068775	8068774
1bwv	A	O98949	8035445	8023065
1gk8	A	P00877	8035891	8023511
3boe	A	Q50EL4	8039391	8027012
1wt9	A	Q9IAM1	8033273	8020893
1wt9	B	Q9DEF8	8033275	8020895
1uv0	A	Q06141	8035146	8022766
1egi	B	P22897	8037040	8024661
1c3a	B	Q8AV98	8037057	8024678
1htn	A	P05452	8037116	8024737
1prt	B	P04978	8037123	8024744
1bnl	A	P39060	8037139	8024760
7dxm	A	Q5M4V2	8103995	8103994
4eo2	C	Q7Y3F0	8093075	8093074
2xqn	A	Q9Y615	8093079	8046224
1w1o	A	Q9T0N8	8041583	8029204
4to7	A	A9CQL4	8051831	8045723
1vqo	3	P32411	8032610	8020230
2zjr	1	Q9RSS4	8038526	8026147
4v6u	AW	Q8U474	8063782	8063781
5ngm	A1	A0A077V2P0	8075056	8075055
6spf	2	A0A069QB25	8094060	8094059
6xyw	AC	Q9SQT5	8095355	8095354
6o8z	2	A0A1B4XMM2	8096480	8096479
6o8y	3	A0A1B4XR98	8096488	8096487
6osk	c	H4LIZ0	8097884	8097883
5v7q	1	P9WH95	8099004	8099003
6hma	1	Q2FYU6	8099282	8099281
6th6	Bg	Q5JDM6	8099618	8099617
6vyu	i	S1DPI3	8100800	8100799
6swa	n	Q4VAF2	8101553	8101552
3j7r	m	P63053	8101563	8101562
7jil	b	A0A1B2U029	8101914	8101913
6swa	k	Q5M9K3	8102471	8102470
7r81	o1	V5INI1	8105970	8105969
7qep	P3	Q8SRJ2	8106609	8106608
6az3	o	A0A3Q8IC65	8107082	8107081
7pkt	z	A8J9C3	8107772	8107771
1z9e	A	O75475	8035439	8023059
4yuu	Y1	Q9TLX0	8093137	8047735
6wd1	K	S1CG62	8100798	8100797
7kgb	f	P9WH31	8106252	8106251
2wzf	A	Q5ZVS2	8093144	8093143
5eft	B	B6SCH3	8093146	8047695
2btd	A	P76014	8088533	8088532
4qiv	A	A0KHX4	8081336	8081335
4p7t	B	B1VB62	8081344	8081343
5l38	A	A0QP49	8081356	8081355
7mmx	B	A0A0E2J8H5	8104183	8104182
1ynj	C	Q9KWU7	8032536	8020156
1ynj	D	Q9KWU6	8032539	8020159
1smy	C	Q8RQE9	8039611	8027232
5fsw	A	G2R911	8055688	8046929
5wfu	A	Q9CQV8	8082809	8082808
7exe	B	P63101	8105820	8105819
1o8v	A	Q02970	8033890	8021510
1z24	A	P00305	8035100	8022720
1gt1	A	P07435	8035738	8023358
2eu7	X	Q26241	8040178	8027799
1txl	A	P76344	8040519	8028140
2hnx	A	P15090	8042368	8029989
6j92	A	P05361	8058933	8058932
3nat	A	Q833H6	8092906	8046126
3d19	A	3D19_A	8040380	8028001
6ek9	A	D6ES11	8061809	8061808
4ye6	A	P47897	8092921	8092917
4ye6	A	P47897	8092920	8046133
4yzf	A	P02730	8092954	8092953
7rtm	A	F1LUB7	8107250	8107249
2ls0	1	O54308	8092959	8046138
1ail	A	P03495	8036745	8024366
1d2d	A	Q7SIA2	8036755	8024376
4v6w	AN	Q03334	8052946	8052945
3m8a	C	C3W611	8071730	8071729
5h5n	A	H6QM99	8071736	8071735
6zlc	A	Q1PST0	8099222	8099221
7s1k	w	D8EB41	8106146	8106145
3ajw	A	P0A1K1	8092985	8049786
1miu	A	P97929	8043580	8031202
1gg4	A	P11880	8091454	8003727
3vn0	C	Q3U2S8	8093006	8046177
1qsa	A	P0AGC3	8038629	8026250
5etq	A	Q2G0Q5	8079246	8079245
1hbn	B	P11560	8033111	8020731
1e6y	B	P07955	8035623	8023243
3rmq	A	C7MVX3	8093025	8046210
1e0t	A	P0AD61	8042564	8030185
1wrd	A	O60784	8032452	8020072
1hx8	A	Q9VI75	8035565	8023185
2yy3	A	P58748	8063608	8063607
4ayb	Q	B8YB65	8093029	8047257
7ok0	Q	Q4JAJ6	8104321	8104320
1rxq	A	O31562	8038984	8026605
2ljw	A	Q8YUA0	8093031	8046211
3a7m	B	P0A1N2	8092869	8047154
2brx	A	Q8U122	8038460	8026081
2j4j	A	Q97ZE2	8063664	8063663
3kzf	A	A8BB85	8074387	8074386
2e9y	A	Q9YAH1	8074389	8074388
4a7x	A	P56106	8074978	8074977
7bes	B	A0A045IH65	8105998	8105997
2x2w	A	A0A140NEG9	8106776	8106775
2rld	C	Q8AAW0	8036948	8024569
1d8d	A	Q04631	8038634	8026255
1dce	A	Q08602	8038637	8026258
2h6f	A	P49354	8042173	8029794
3st1	A	A5H7H0	8093060	8047424
6qbe	A	H6W1B5	8093063	8093062
3dc7	A	3DC7_A	8040643	8028264
4i8i	A	A7V1G8	8056996	8045150
4m8k	A	A7UZL6	8057052	8045199
3hp4	A	Q1G1I7	8076013	8076012
6v47	E	Q0A426	8094154	8094153
6v44	E	A0A140D8S6	8094361	8094360
5y2m	A	A3KF09	8097078	8097077
6mlm	H	B2LVD7	8097256	8097255
1g73	A	Q9NR28	8036712	8024333
2fbn	A	Q8I4V8	8040750	8028371
3mkq	B	P53622	8048958	8045226
4lct	A	P45432	8057041	8045189
6evm	A	O15460	8077403	8077402
6hpg	B	F4KCL7	8079990	8079989
4f53	A	A7M3W3	8087084	8087083
3sgh	A	Q8A1B4	8087090	8087089
5a5t	E	G1SUC8	8091484	8044847
4egc	A	Q15475	8093338	8046290
2pzi	A	P9WI73	8095902	8046341
6u3v	A	O14579	8098106	8098105
6ip1	H	P81125	8098940	8098939
6gaw	B9	A0A287A731	8083322	8083321
2fyx	A	Q9RXX8	8041517	8029138
1qd1	B	P53603	8035670	8023290
4w5x	A	P08586	8101826	8046465
6ww7	C	Q9P0I2	8101852	8101851
1y0n	A	Q9HYE3	8044238	8031860
1p49	A	P08842	8038181	8025802
3b5q	A	Q8A7C8	8090534	8045403
4upk	A	Q5LKJ1	8090538	8060827
6wh5	B	P9WP99	8102275	8102274
1qsd	A	P48606	8036713	8024334
2wkx	A	P75820	8038048	8025669
4o9x	A	Q8GF99	8102239	8047402
2cob	A	Q96JN0	8002278	8002277
2cjj	A	Q58FS3	8002291	8002290
1jt6	B	P0A0N4	8002545	8002544
1au7	A	P10037	8017638	8002381
4u4z	c3	P05756	8052973	8050307
3zob	A	Q05917	8054196	8045035
1sgm	A	P42105	8056383	8056382
2iu5	A	Q9CIV9	8056386	8056385
2fq4	A	Q81BJ4	8056408	8056407
2d6y	A	Q9ADP7	8056439	8056438
1ew3	A	Q95182	8042608	8030229
2yg2	B	O95445	8052635	8045815
3hty	O	Q8A9E6	8052642	8047797
4i3b	B	P0DM59	8062807	8062806
3elx	A	Q6IMW5	8062833	8062832
2hzq	A	P05090	8068809	8068808
2l9c	A	Q5FW60	8070886	8070885
2xst	A	Q6UWW0	8070888	8070887
7a9y	AAA	P29762	8102427	8102426
1a1d	A	P20436	8041967	8029588
5x4z	H	C4R273	8078385	8078384
2f3i	A	P52434	8078389	8078388
2mgy	A	P50637	8094205	8051071
3q5w	A	P38937	8093284	8050971
6xir	AK	A0A6A5PVE9	8096928	8096927
7nhm	k	A0A0D1JTN2	8103030	8103029
7kgb	j	P9WH67	8106272	8106271
7otc	j	A0A140N6Y5	8107432	8107431
7pi8	I	P75581	8107628	8107627
5doc	B	P16794	8093310	8050818
2lis	A	P04552	8036754	8024375
1gak	A	Q25063	8036760	8024381
1t5j	A	Q58588	8041687	8029308
4m0q	A	Q05322	8095829	8048157
3vne	A	Q5XX02	8095830	8048158
2kt7	A	Q8Y8R0	8095845	8048260
4mt5	A	F8KCE4	8095853	8095852
5br0	A	A0A0M3KL64	8087720	8087719
1ruy	H	Q9WCD9	8087738	8087737
6fyt	A	A7Y8I1	8087754	8087753
4hfu	A	P03451	8087768	8087767
4kwm	A	C0LYC6	8087770	8087769
5e2y	A	G8IPF0	8087796	8087795
3eyj	A	P26137	8087818	8087817
4cyv	A	E0YNJ7	8087836	8087835
4wsx	A	A0A0J9X252	8087842	8087841
4bsh	A	Q6GYW3	8087866	8087865
4rdb	A	Q7MXK0	8102575	8060619
5nf3	A	B2RHG1	8102578	8051306
4jrf	A	A7LUP9	8102579	8051307
1ckt	A	P63159	8036763	8024384
2lef	A	P27782	8036774	8024395
1wz6	A	Q8VBW5	8073212	8073211
2rnq	A	P29083	8102723	8046563
1viz	A	O34790	8058076	8058075
2djl	A	Q4D3W2	8059669	8059668
3gye	A	Q4QEW7	8059675	8059674
5dxy	A	C5H429	8083073	8083072
4xq6	A	P9WHL1	8099038	8099037
2bw0	A	O75891	8057646	8002497
1z7e	A	P77398	8057773	8057771
1gjs	A	P19909	8032875	8020495
6sow	A	P02976	8099308	8099307
2v66	E	Q9GZM8	8102728	8046601
4e16	A	Q180S3	8067840	8067839
1cm7	A	P30125	8032801	8020421
1r8k	A	P58717	8040444	8028065
5yzh	A	O88844	8067340	8067339
2d4v	A	Q8GAX0	8073651	8073650
2iv0	A	O29610	8073653	8073652
5j33	H	P93832	8073665	8073664
3vmk	A	D2YZL2	8073669	8073668
5hn5	A	Q5JFV8	8076911	8076910
5z16	B	V5VCI0	8100884	8100883
4xl8	A	A0MK70	8071483	8071482
2wst	A	Q83467	8071499	8071498
6fjq	A	A4ZKK6	8097112	8097111
6stu	C	M0QTV3	8098050	8098049
6qpo	E	Q09TX9	8099124	8099123
3o8e	C	Q772X2	8099946	8099945
5hrj	A	Q2VL90	8084552	8084551
1szq	A	P77243	8054250	8029259
1bc6	A	Q45560	8035261	8022881
2v4j	A	P45574	8037230	8024851
1rgv	A	O88151	8040620	8028241
6igz	C	A0A4V8H005	8093806	8093805
7ew6	C	S4YZ47	8106352	8106351
1chu	A	P10902	8056065	8001297
2bs2	A	P17412	8056074	8056072
1bxy	A	P74909	8035699	8023319
5myj	B2	A2RNN5	8076275	8076274
5xym	Z	A0QSG7	8076279	8076278
1a5j	A	Q03237	8057571	8002311
2ecb	A	Q9UKY1	8057624	8002413
2dmt	A	Q9HBU1	8070988	8070987
2da6	A	P35680	8077675	8077674
5k7f	B	Q1D4I5	8087298	8059586
2yqk	A	Q9P2R6	8088108	8088107
2lr8	A	Q9UKL3	8088568	8088567
5xay	H	Q9XCC7	8088780	8087299
6el2	A	Q4J9S1	8090128	8088260
3vib	C	P39897	8090167	8050804
3lhq	A	Q7CR15	8090173	8050807
5gpc	A	Q9K8A4	8090175	8075997
2ibd	A	Q0S7V2	8090183	8080808
3npi	B	Q6NFU8	8090211	8085284
3dew	A	Q74GS0	8090215	8085286
3p9a	B	P04893	8092492	8045973
4egc	A	Q15475	8093340	8093339
6j4k	A	Q94CL7	8095245	8095244
5chh	A	Q9I0P9	8104125	8104124
7d3t	D	B8B5N8	8105397	8105396
1xkp	A	P68640	8033763	8021383
1z21	A	P68590	8035095	8022715
1k8w	A	P60340	8035598	8023218
2i82	A	P0AA37	8075615	8075614
1xa0	A	1XA0_A	8057553	8057552
1e3j	A	O96496	8058525	8058524
2dq5	A	O15344	8033788	8021408
5jpx	A	P19474	8062661	8062660
2yrg	A	Q9C035	8084977	8084976
2vhf	A	Q9NQC7	8090287	8090286
1euc	B	P53590	8058552	8058551
3exc	X	Q97Y85	8086624	8086623
2f06	A	Q8AA93	8003885	8003884
1y7p	B	O28869	8034169	8021789
2fgc	A	Q9WZ19	8044616	8044614
2pc6	A	Q82UZ2	8070011	8070010
4y28	H	A0A0M3KL10	8102525	8051253
1lcs	A	P11261	8032493	8020113
4h3w	A	A6LBC8	8102530	8051205
2akj	A	P05314	8033475	8021095
2gep	A	P17846	8035688	8023308
2gep	A	P17846	8035690	8023310
4pkg	G	P28289	8102532	8051262
1st0	A	Q96C86	8041668	8029289
3pay	D	A7M1U3	8102536	8051300
3pay	D	A7M1U3	8102537	8051300
4k4k	A	A7UZ95	8102551	8048304
3t2l	A	Q5LE95	8102557	8048301
4dgu	A	Q8AAZ2	8102558	8048300
2fwh	A	P36655	8041427	8029048
1syr	A	Q7KQL8	8041624	8029245
1wik	A	Q9CQM9	8043578	8031200
2trx	A	P0AA25	8044359	8031981
1a8y	A	P07221	8044369	8031991
2gsr	A	P80031	8044372	8031994
1glq	A	P19157	8044373	8031995
1aw9	A	Q9ZP62	8044383	8032005
2trc	P	P20942	8044386	8032008
1ev4	A	P00502	8044395	8032017
2b5x	A	O31699	8056698	8056697
1qmv	A	P32119	8057892	8057891
1xcc	A	Q86SB3	8057903	8057902
1we0	A	K0J4Q8	8057930	8057929
1j08	A	O57917	8058564	8058562
2k18	A	P07237	8058568	8058566
2djj	A	P55059	8058570	8058569
3uiw	B	Q6DH06	8063554	8063553
3fz4	A	Q8DSV8	8064366	8064365
5lc5	S	Q02370	8065221	8065220
3zij	B	Q819J1	8066768	8066767
2jac	A	P25373	8075874	8075873
2qgv	A	A0A2S4MV65	8078289	8078288
2mbs	A	B5XZJ6	8080056	8080055
5h29	A	Q830N9	8085557	8078224
6gcs	H	Q9UUT9	8085745	8085744
5lc5	E	P04394	8085749	8085748
2ct6	A	Q9UJC5	8088091	8088090
3iv4	A	A0A0H3JTE8	8092072	8045776
4yap	A	G2IN94	8093300	8093299
4g10	A	Q9WXJ9	8093303	8093302
3ga4	A	Q03723	8095960	8046403
7bzk	B	Q6NPF9	8099830	8099829
7c2b	C	Q9XFH9	8100726	8100725
3lqa	G	Q1PHM6	8080387	8080386
6l1y	A	G4XFJ5	8097852	8097851
4lst	G	R4GRV3	8100784	8100783
6xcj	G	A0A0A7I3C6	8103234	8103233
7n65	I	A0A6H1VCM1	8103885	8103884
1veh	A	Q9QZ23	8043074	8030695
2xr4	A	B4EH86	8087610	8087609
1j7x	A	Q7SZI7	8036803	8024424
2cby	A	P9WPC5	8038635	8026256
2f6i	A	O97252	8040577	8028198
2f9y	B	P0A9Q5	8040707	8028328
2fw2	A	Q9Y6F7	8057683	8003090
5xzd	A	A3SKA6	8059892	8059891
4mi2	A	B1MJ43	8059914	8059913
6wd8	z	I2X6E7	8097942	8097941
7jil	Z	A0A1M5L7Z6	8101946	8101945
7m4v	Y	B7IA21	8104261	8104260
1uqr	A	P43877	8041969	8029590
3kip	A	Q59Z17	8077701	8077700
6hs9	A	D4S0D1	8095427	8095426
6smf	C	Q5NPJ9	8099702	8099701
1vlo	A	P27248	8056085	8056083
5gui	A	Q9FI56	8082867	8082866
1xzp	A	Q9WYA4	8002420	8002419
1vly	A	P0ADE8	8056087	8056086
2bs2	B	P17596	8089676	8089675
3grs	A	P00390	8056194	8001316
1xhc	A	Q8U1K9	8056197	8056195
1onf	A	Q94655	8056209	8056207
1d7y	A	Q52437	8056221	8056219
1m6i	A	O95831	8056227	8056225
1xdi	A	P9WHH7	8056235	8044623
2bw0	A	O75891	8057645	8002497
3tqr	A	Q83AY9	8073621	8073620
3auf	A	E5RXD0	8073623	8073622
4ds3	A	Q8YGB8	8073625	8073624
3kcq	B	Q2GLA4	8073631	8073630
2cv5	A	P68431	8039340	8026961
1s32	C	P06897	8041278	8028899
2hue	C	P62799	8042439	8030060
1f1e	A	O93641	8057983	8018997
4e45	A	Q8N2Z9	8058042	8019160
4jjn	G	P04912	8067122	8067121
3a6n	E	Q16695	8070529	8070528
4wzs	B	M1K2J7	8084162	8084161
6k0c	D	Q27894	8093846	8093845
5gxq	E	A0A1X8XL64	8094341	8094340
6k1p	A	A0A310TTQ1	8096712	8096711
5ay8	A	P0DPK2	8098470	8098469
7bxt	E	Q6XXM1	8102483	8102482
7cvo	B	O23310	8103342	8103341
7cvo	A	Q9FMV5	8103506	8103505
7on1	e	P36012	8103851	8103850
7qxb	L	B2R5B3	8106894	8106893
7xd1	A	A0A6I9KHI6	8107124	8107123
1v2a	A	Q9BHB0	8035365	8022985
1okt	A	Q8ILQ7	8037600	8025221
4olq	C	Q0C365	8059940	8059939
2gtr	A	Q9Y232	8067171	8067170
4nek	B	Q2VZN8	8067175	8067174
4kd6	A	B1GB42	8067209	8067208
3qxi	B	B2HMZ1	8067221	8067220
4jjt	C	I6YEH6	8067225	8067224
3l3s	A	Q5LQZ3	8067229	8067228
5wyb	B	Q9I5I4	8067231	8067230
6mx2	D	Q180F0	8068471	8068470
4hnk	B	Q8IL98	8068501	8068500
5kdr	B	Q2FXM6	8075483	8075482
3tlf	A	Q73XB1	8077571	8077570
4jwv	A	Q2G8B7	8077575	8077574
3hp0	B	P40805	8081015	8081014
3qre	A	B2HQD1	8083530	8083529
3qmj	A	B2HD64	8083532	8083531
4jot	A	Q9RY37	8086344	8086343
7jti	A	P12661	8098492	8098491
6l3o	B	Q88HJ8	8100078	8100077
7m1m	E	Q9I2U1	8102775	8102774
7mcm	B	A0QXQ8	8102807	8102806
7eum	C	A9A2G5	8105387	8105386
7m1l	E	Q9HYR9	8105946	8105945
1x4p	A	Q8IX01	8033388	8021008
1ku9	A	Q58958	8002561	8002560
2byv	E	Q9EQZ6	8002780	8002779
1sfx	A	O28271	8002799	8002798
1stz	A	Q9WZV5	8002831	8002830
1xb4	A	P47142	8002872	8002870
1zao	A	O30245	8002888	8058159
1xd7	A	P71036	8002925	8002924
2hfh	A	Q63245	8002951	8002950
2obp	A	Q46TT3	8002982	8002981
2ns0	A	Q0S2K3	8003001	8003000
1cf7	A	Q16254	8003054	8003053
1s6l	A	P77072	8003062	8003059
1dp7	P	P22670	8003095	8003093
1pp7	U	Q95VR4	8003145	8003144
3hts	B	P22121	8003172	8003171
1ldj	A	Q13616	8003463	8003462
1lva	A	Q46455	8003481	8003478
1z05	A	Q9KQJ1	8017675	8003349
3e5u	C	B8FW11	8017720	8002745
1fnn	A	Q8ZYK1	8017739	8002902
1ixc	A	Q9WXC7	8017744	8002826
2v1n	A	O60870	8052331	8044735
2wa0	A	P43358	8053069	8049077
1fp2	A	O24529	8054281	8054279
4v8m	AD	Q38B66	8055706	8051607
3j7p	SK	F1RZ28	8055718	8051615
2h6c	A	Q9LAS2	8056257	8056256
1ka8	A	P10277	8056280	8003097
1hks	A	P22813	8056294	8003174
2irf	G	P23906	8056295	8003178
3k9t	A	Q97H19	8056965	8045131
4win	A	Q8IJR9	8065933	8065932
2vrn	A	Q9RV31	8066089	8066088
4p5p	A	A0Q664	8084330	8084329
5n29	A	C9ZI73	8097454	8097453
1lnq	A	O27564	8057608	8057607
2fr0	A	Q03131	8000377	8000376
2c07	A	Q8I2S7	8044613	8044612
1i5r	A	P14061	8044635	8044634
5c37	A	P49327	8055961	8055960
5bp4	K	A0R1E8	8055968	8055966
1dhr	A	P11348	8057171	8057170
1k2w	A	Q59787	8057194	8057192
1zem	A	Q8GR61	8057197	8057196
2gdz	A	P15428	8057209	8057208
2ewm	B	Q5P5I4	8057220	8057218
2bgk	A	Q94KL8	8057233	8057232
1y1p	A	Q9UUN9	8058090	8058089
1oc2	A	Q8GIP9	8058096	8058095
1xgk	A	Q5AU62	8058116	8058115
1o5i	A	Q9X0Q1	8058477	8058476
5tf4	D	A0A0H3M2Q2	8063124	8063123
4m87	A	A1KVU8	8063132	8063131
5jyd	B	B4EEE3	8063176	8063175
2zat	A	Q8WNV7	8063208	8063207
5yss	A	A0A0D7LY80	8063226	8063225
5jy1	A	Q13HF0	8063238	8063237
5u9p	C	B4EEX4	8063248	8063247
6bi4	A	A0A6L7HMN5	8066226	8066225
6bwl	A	Q3ESA4	8066230	8066229
4dml	A	Q31QF3	8066840	8066839
3osu	A	P0A0H9	8066854	8066853
3ay7	B	P39485	8066880	8066879
3gaf	G	Q8YIN7	8066918	8066917
